Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Mirae Asset Banking & Fin Svcs Dir Gr	Direct Plan	Sector - Financial Services	4.0		-3.52%	-14.05%	-13.10%	-5.04%	-13.10%	3.21%	9.40%	15.53%	13.32%	
ITI Value Dir Gr	Direct Plan	Value	3.0		-2.86%	-12.78%	-14.84%	-8.68%	-14.84%	-1.20%	0.11%	15.50%		
JM Value Dir Gr	Direct Plan	Value	4.0		-2.26%	-12.88%	-16.38%	-15.36%	-16.38%	-8.01%	-1.68%	15.49%	14.95%	16.16%
Mahindra Manulife Lrg & Md cap Dir Gr	Direct Plan	Large & Mid-Cap	3.0		-2.39%	-10.41%	-11.80%	-7.68%	-11.80%	-0.69%	0.30%	15.49%	14.83%	
Aditya BSL Focused Dir Gr	Direct Plan	Focused Fund	4.0		-0.62%	-10.47%	-12.17%	-5.56%	-12.73%	-0.25%	4.71%	15.47%	12.27%	13.39%
LIC MF Small Cap Fund Dir Gr	Direct Plan	Small-Cap	3.0		-2.29%	-8.64%	-11.65%	-13.08%	-11.65%	-5.09%	3.51%	15.47%	17.01%	
Templeton India Value Dir Gr	Direct Plan	Value	3.0		-0.99%	-11.27%	-12.19%	-7.33%	-12.73%	-0.84%	1.97%	15.46%	16.62%	14.97%
DSP Glb Cln Ey Ovrs Eq Omni FoF Dir Gr	Direct Plan	Global - Other			-0.46%	-1.29%	10.17%	20.61%	10.95%	66.56%	22.03%	15.46%	12.30%	9.18%
Invesco India largecap Dir Gr	Direct Plan	Large-Cap	5.0		-0.04%	-11.12%	-12.88%	-10.29%	-13.49%	-1.83%	3.34%	15.44%	13.00%	13.56%
Edelweiss NIFTY Lrg Md Cp 250 Idx DrGr	Direct Plan	Index Funds			-2.59%	-11.38%	-13.48%	-8.50%	-13.48%	-1.14%	2.86%	15.43%		
Sundaram Multi Cap Dir Gr	Direct Plan	Multi-Cap	4.0		-0.03%	-11.55%	-13.26%	-11.30%	-14.26%	-3.18%	3.59%	15.43%	14.30%	15.17%
Nippon India Banking & Fin Srvs Dir Gr	Direct Plan	Sector - Financial Services	4.0		-1.65%	-14.84%	-13.62%	-8.04%	-14.40%	-1.17%	5.88%	15.41%	15.08%	14.49%
Tata India Consumer Dir Gr	Direct Plan	Equity - Consumption	5.0		-0.18%	-8.69%	-14.61%	-13.33%	-15.24%	-3.53%	2.80%	15.37%	13.63%	16.70%
Quant Flexi Cap Dir Gr	Direct Plan	Flexi Cap	5.0		-2.38%	-9.16%	-11.25%	-7.95%	-11.25%	-2.79%	-1.89%	15.35%	18.37%	19.15%
HSBC Focused Dir Gr	Direct Plan	Focused Fund	4.0		0.11%	-11.76%	-12.06%	-8.01%	-12.70%	1.65%	3.21%	15.34%	12.67%	
Motilal Oswal BSE Quality Idx Dir Gr	Direct Plan	Index Funds			-1.88%	-8.22%	-11.24%	-6.97%	-11.24%	1.21%	0.95%	15.33%		
Bank of India Midcap Tax Ser 1 Dir Gr	Direct Plan	ELSS (Tax Savings)			-2.07%	-8.82%	-10.74%	-9.87%	-10.74%	3.08%	0.97%	15.33%	13.11%	
HDFC NIFTY50 Equal Weight Index Dir Gr	Direct Plan	Index Funds			-1.80%	-10.69%	-11.28%	-6.27%	-11.28%	1.68%	3.04%	15.28%		
Bandhan Large Cap Dir Gr	Direct Plan	Large-Cap	5.0		-0.78%	-10.93%	-12.62%	-8.11%	-13.33%	-1.22%	3.64%	15.26%	12.02%	13.32%
Aditya BSL Nifty 50 EW Index Dir Gr	Direct Plan	Index Funds			-1.81%	-10.67%	-11.26%	-6.25%	-11.26%	1.68%	3.02%	15.25%		
Mirae Asset Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-0.63%	-10.67%	-12.31%	-7.41%	-13.04%	1.33%	4.94%	15.24%		
Axis Innovation Dir Gr	Direct Plan	Equity - Other			-1.50%	-7.30%	-12.07%	-10.43%	-12.29%	1.02%	4.32%	15.21%	11.31%	
Mirae Asset Large & Midcap Dir Gr	Direct Plan	Large & Mid-Cap	4.0		-0.84%	-11.68%	-13.08%	-8.40%	-13.88%	0.99%	3.57%	15.21%	12.57%	17.52%
Sundaram Services Dir Gr	Direct Plan	Equity - Other			-0.34%	-10.81%	-15.34%	-11.70%	-16.09%	-1.45%	5.18%	15.18%	15.60%	
Sundaram LT Mic capTax Ad Sr VI Dir Gr	Direct Plan	Small-Cap			1.22%	-9.13%	-11.86%	-11.32%	-13.06%	2.09%	2.13%	15.17%	20.20%	
ICICI Prudential Large Cap Dir Gr	Direct Plan	Large-Cap	5.0		-0.47%	-10.91%	-12.77%	-8.74%	-13.42%	-2.41%	2.50%	15.16%	13.72%	14.58%
Axis Business Cycles Dir Gr	Direct Plan	Equity - Other			-0.46%	-11.75%	-12.06%	-10.23%	-12.72%	-2.39%	2.51%	15.15%		
Sundaram Div Yield Dir Gr	Direct Plan	Dividend Yield			-0.25%	-9.23%	-9.73%	-6.14%	-10.54%	-1.51%	1.77%	15.15%	13.25%	15.30%
HDFC Small Cap Dir Gr	Direct Plan	Small-Cap	4.0		-2.32%	-11.51%	-14.26%	-14.89%	-14.26%	-1.59%	1.17%	15.12%	18.59%	17.95%
