Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Mirae Asset Multicap Dir Gr	Direct Plan	Multi Cap Fund			-0.74%	-11.49%	-13.39%	-10.12%	-14.13%	1.15%	4.94%			
PGIM India Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			0.00%	-9.81%	-10.26%	-9.08%	-11.14%	0.67%				
Edelweiss Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			0.34%	-10.38%	-11.13%	-7.00%	-11.92%	0.26%	5.62%			
Canara Robeco Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			0.23%	-10.03%	-12.68%	-9.61%	-13.42%	-0.07%	5.74%			
Franklin India Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			-0.20%	-12.03%	-13.91%	-10.70%	-14.70%	-0.71%				
Bajaj Finserv Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			0.98%	-10.91%	-11.53%	-7.06%	-12.29%	-1.63%				
DSP Multicap Dir Gr	Direct Plan	Multi Cap Fund			-0.62%	-11.03%	-13.14%	-13.04%	-14.19%	-2.87%	3.64%			
Samco Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			0.25%	-7.42%	-9.39%	-12.13%	-10.19%	-10.78%				
Motilal Oswal Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			-0.43%	-9.15%	-17.70%	-17.25%	-18.09%	-12.65%				
TRUSTMF Multi Cap Direct Growth	Direct Plan	Multi Cap Fund			0.11%	-10.31%	-10.05%	-5.91%	-10.90%					
UTI Multi Cap Dir Gr	Direct Plan	Multi Cap Fund			-0.30%	-10.54%	-12.87%	-9.23%	-13.66%					
Axis Value Dir Gr	Direct Plan	Value Fund	5.0		-0.16%	-10.61%	-10.08%	-6.06%	-10.83%	2.18%	7.73%	21.91%		
Quant Value Dir Gr	Direct Plan	Value Fund	4.0		-1.13%	-7.97%	-8.95%	-6.20%	-9.72%	1.88%	-0.05%	21.11%		
HSBC Value Dir Gr	Direct Plan	Value Fund	5.0		0.21%	-10.43%	-10.18%	-5.68%	-11.22%	4.45%	6.49%	20.72%	18.48%	16.70%
Nippon India Value Dir Gr	Direct Plan	Value Fund	5.0		-0.88%	-11.69%	-12.27%	-9.57%	-13.07%	-2.83%	3.48%	19.84%	16.59%	16.16%
DSP Value Dir Gr	Direct Plan	Value Fund	4.0		-0.64%	-5.80%	-4.92%	-0.08%	-5.40%	8.82%	10.29%	19.63%	15.94%	
Aditya BSL Value Dir Gr	Direct Plan	Value Fund	3.0		-0.02%	-9.94%	-10.89%	-5.55%	-11.81%	-0.72%	1.83%	18.44%	15.14%	12.81%
ICICI Prudential Value Dir Gr	Direct Plan	Value Fund	5.0		-0.85%	-9.90%	-11.80%	-6.36%	-12.41%	0.33%	5.69%	17.86%	18.37%	15.69%
Tata Value Dir Gr	Direct Plan	Value Fund	5.0		-0.31%	-9.85%	-11.87%	-6.48%	-12.56%	-0.30%	3.54%	17.59%	15.04%	15.77%
HDFC Value Dir Gr	Direct Plan	Value Fund	3.0		-0.53%	-11.23%	-12.03%	-7.71%	-12.78%	0.93%	5.38%	17.12%	14.84%	14.35%
Union Value Fund Dir Gr	Direct Plan	Value Fund	3.0		-0.11%	-11.07%	-10.81%	-7.26%	-11.62%	0.73%	3.97%	17.00%	14.48%	
ITI Value Dir Gr	Direct Plan	Value Fund	3.0		-0.95%	-12.78%	-13.86%	-8.68%	-14.84%	-1.20%	0.11%	16.06%		
UTI Value fund Dir Gr	Direct Plan	Value Fund	3.0		-0.97%	-11.45%	-13.66%	-9.77%	-14.33%	-3.78%	5.60%	16.01%	13.19%	13.88%
JM Value Dir Gr	Direct Plan	Value Fund	4.0		-0.10%	-12.87%	-15.80%	-15.36%	-16.37%	-8.01%	-1.68%	15.86%	14.83%	16.16%
Templeton India Value Dir Gr	Direct Plan	Value Fund	3.0		-0.99%	-11.27%	-12.19%	-7.33%	-12.73%	-0.84%	1.97%	15.46%	16.62%	14.97%
LIC MF Value Dir Gr	Direct Plan	Value Fund	2.0		-0.36%	-10.57%	-6.70%	-3.92%	-7.44%	3.71%	4.55%	15.05%	12.64%	
Bandhan Value Dir Gr	Direct Plan	Value Fund	4.0		-0.86%	-10.74%	-12.68%	-8.38%	-13.29%	-3.18%	1.17%	14.86%	16.77%	16.43%
Canara Robeco Value Dir Gr	Direct Plan	Value Fund	3.0		-0.80%	-10.84%	-12.51%	-9.15%	-13.30%	-3.57%	2.06%	14.85%		
Groww Value Dir Gr	Direct Plan	Value Fund	3.0		-1.09%	-11.00%	-13.05%	-11.08%	-13.59%	-2.02%	1.32%	14.85%	12.64%	11.64%
Quantum Value Dir Gr	Direct Plan	Value Fund	2.0		-0.82%	-11.37%	-14.37%	-11.22%	-14.78%	-7.13%	1.79%	14.09%	11.20%	11.47%
Axis Nifty500 Value 50 Index Dir Gr	Direct Plan	Value Fund			0.63%	-11.08%	-1.83%	4.02%	-3.27%	13.81%				
Mahindra Manulife Value Dir Gr	Direct Plan	Value Fund			-0.24%	-9.90%	-8.44%	-2.44%	-9.29%	5.13%				
Baroda BNP Paribas Value Dir Gr	Direct Plan	Value Fund			-0.40%	-10.71%	-10.99%	-7.32%	-11.77%	-4.64%	-1.42%			
Kotak Contra Dir Gr	Direct Plan	Contra Fund			-0.47%	-12.04%	-12.17%	-8.37%	-12.89%	0.60%	4.56%	18.55%	15.77%	16.99%
Invesco India Contra Dir Gr	Direct Plan	Contra Fund			-0.19%	-11.67%	-14.67%	-11.48%	-15.45%	-4.92%	4.71%	17.13%	14.27%	16.18%
